2020-11-05 22:36:57,350 - full-1 - INFO - Namespace(batch_size=96, bptt=35, clip=0.25, concat=True, cuda=True, data='data/penn', dropout=0.2, emsize=300, epochs=400, index_module='linear', log_interval=1000, loss='full', lr=1.0, lr_decay=2, min_freq=3, nhid=300, nlayers=3, noise_ratio=500, norm_term=-1, prof=False, save='full-1', seed=1111, tb_name=None, train=True, vocab=None, weight_decay=1e-08)
2020-11-05 22:36:57,699 - full-1 - INFO - Vocabulary size is 9957
2020-11-05 22:37:07,865 - full-1 - INFO - model definition:
 RNNModel(
  (drop): Dropout(p=0.2, inplace=False)
  (encoder): Embedding(9957, 300)
  (rnn): LSTM(300, 300, num_layers=3, batch_first=True, dropout=0.2)
  (proj): Linear(in_features=300, out_features=300, bias=True)
  (criterion): IndexLinear(
    (alias): AliasMultinomial()
    (bce_with_logits): BCEWithLogitsLoss()
    (ce): CrossEntropyLoss()
    (emb): Embedding(9957, 300)
    (bias): Embedding(9957, 1)
  )
)
2020-11-05 22:46:29,387 - full-1 - WARNING - | end of epoch  60 | time:  9.37s |valid ppl   116.85 | valid loss:  4.63
2020-11-05 22:46:38,767 - full-1 - WARNING - | end of epoch  61 | time:  9.38s |valid ppl   116.85 | valid loss:  4.76
2020-11-05 22:46:48,164 - full-1 - WARNING - | end of epoch  62 | time:  9.40s |valid ppl   116.85 | valid loss:  4.73
2020-11-05 22:46:57,573 - full-1 - WARNING - | end of epoch  63 | time:  9.41s |valid ppl   116.85 | valid loss:  4.74
2020-11-05 22:47:06,962 - full-1 - WARNING - | end of epoch  64 | time:  9.39s |valid ppl   116.85 | valid loss:  4.71
2020-11-05 22:47:16,363 - full-1 - WARNING - | end of epoch  65 | time:  9.40s |valid ppl   116.85 | valid loss:  4.83
2020-11-05 22:47:25,761 - full-1 - WARNING - | end of epoch  66 | time:  9.40s |valid ppl   116.85 | valid loss:  4.90
2020-11-05 22:47:35,171 - full-1 - WARNING - | end of epoch  67 | time:  9.41s |valid ppl   116.85 | valid loss:  4.90
2020-11-05 22:47:44,587 - full-1 - WARNING - | end of epoch  68 | time:  9.42s |valid ppl   116.85 | valid loss:  4.68
2020-11-05 22:47:53,995 - full-1 - WARNING - | end of epoch  69 | time:  9.41s |valid ppl   116.85 | valid loss:  4.74
2020-11-05 22:48:03,431 - full-1 - WARNING - | end of epoch  70 | time:  9.44s |valid ppl   116.85 | valid loss:  4.60
2020-11-05 22:48:12,862 - full-1 - WARNING - | end of epoch  71 | time:  9.43s |valid ppl   116.85 | valid loss:  4.96
2020-11-05 22:48:22,291 - full-1 - WARNING - | end of epoch  72 | time:  9.43s |valid ppl   116.85 | valid loss:  4.86
2020-11-05 22:48:31,718 - full-1 - WARNING - | end of epoch  73 | time:  9.43s |valid ppl   116.85 | valid loss:  4.85
2020-11-05 22:48:41,169 - full-1 - WARNING - | end of epoch  74 | time:  9.45s |valid ppl   116.85 | valid loss:  4.77
2020-11-05 22:48:50,608 - full-1 - WARNING - | end of epoch  75 | time:  9.44s |valid ppl   116.85 | valid loss:  4.87
2020-11-05 22:49:00,046 - full-1 - WARNING - | end of epoch  76 | time:  9.44s |valid ppl   116.85 | valid loss:  4.77
