2020-11-05 22:36:00,766 - sampled-1 - INFO - Namespace(batch_size=96, bptt=35, clip=0.25, concat=True, cuda=True, data='data/penn', dropout=0.2, emsize=300, epochs=400, index_module='linear', log_interval=1000, loss='sampled', lr=1.0, lr_decay=2, min_freq=3, nhid=300, nlayers=3, noise_ratio=500, norm_term=-1, prof=False, save='sampled-1', seed=1111, tb_name=None, train=True, vocab=None, weight_decay=1e-08)
2020-11-05 22:36:01,109 - sampled-1 - INFO - Vocabulary size is 9957
2020-11-05 22:36:10,407 - sampled-1 - INFO - model definition:
 RNNModel(
  (drop): Dropout(p=0.2, inplace=False)
  (encoder): Embedding(9957, 300)
  (rnn): LSTM(300, 300, num_layers=3, batch_first=True, dropout=0.2)
  (proj): Linear(in_features=300, out_features=300, bias=True)
  (criterion): IndexLinear(
    (alias): AliasMultinomial()
    (bce_with_logits): BCEWithLogitsLoss()
    (ce): CrossEntropyLoss()
    (emb): Embedding(9957, 300)
    (bias): Embedding(9957, 1)
  )
)
2020-11-05 22:44:51,452 - sampled-1 - WARNING - | end of epoch  86 | time:  6.01s |valid ppl   118.79 | valid loss:  4.87
2020-11-05 22:44:57,455 - sampled-1 - WARNING - | end of epoch  87 | time:  6.00s |valid ppl   118.79 | valid loss:  4.82
2020-11-05 22:45:03,469 - sampled-1 - WARNING - | end of epoch  88 | time:  6.01s |valid ppl   118.79 | valid loss:  4.72
2020-11-05 22:45:09,478 - sampled-1 - WARNING - | end of epoch  89 | time:  6.01s |valid ppl   118.79 | valid loss:  4.70
2020-11-05 22:45:15,493 - sampled-1 - WARNING - | end of epoch  90 | time:  6.01s |valid ppl   118.79 | valid loss:  4.78
2020-11-05 22:45:21,503 - sampled-1 - WARNING - | end of epoch  91 | time:  6.01s |valid ppl   118.79 | valid loss:  4.58
2020-11-05 22:45:27,519 - sampled-1 - WARNING - | end of epoch  92 | time:  6.02s |valid ppl   118.79 | valid loss:  4.68
2020-11-05 22:45:33,539 - sampled-1 - WARNING - | end of epoch  93 | time:  6.02s |valid ppl   118.79 | valid loss:  4.79
2020-11-05 22:45:39,564 - sampled-1 - WARNING - | end of epoch  94 | time:  6.02s |valid ppl   118.79 | valid loss:  4.72
2020-11-05 22:45:45,587 - sampled-1 - WARNING - | end of epoch  95 | time:  6.02s |valid ppl   118.79 | valid loss:  4.88
2020-11-05 22:45:51,614 - sampled-1 - WARNING - | end of epoch  96 | time:  6.03s |valid ppl   118.79 | valid loss:  4.88
2020-11-05 22:45:57,633 - sampled-1 - WARNING - | end of epoch  97 | time:  6.02s |valid ppl   118.79 | valid loss:  4.81
2020-11-05 22:46:03,662 - sampled-1 - WARNING - | end of epoch  98 | time:  6.03s |valid ppl   118.79 | valid loss:  4.83
2020-11-05 22:46:09,703 - sampled-1 - WARNING - | end of epoch  99 | time:  6.04s |valid ppl   118.79 | valid loss:  4.88
2020-11-05 22:46:15,738 - sampled-1 - WARNING - | end of epoch 100 | time:  6.03s |valid ppl   118.79 | valid loss:  4.69
2020-11-05 22:46:21,783 - sampled-1 - WARNING - | end of epoch 101 | time:  6.04s |valid ppl   118.79 | valid loss:  4.77
2020-11-05 22:46:27,809 - sampled-1 - WARNING - | end of epoch 102 | time:  6.03s |valid ppl   118.79 | valid loss:  4.87
2020-11-05 22:46:33,854 - sampled-1 - WARNING - | end of epoch 103 | time:  6.05s |valid ppl   118.79 | valid loss:  4.87
2020-11-05 22:46:39,892 - sampled-1 - WARNING - | end of epoch 104 | time:  6.04s |valid ppl   118.79 | valid loss:  4.63
2020-11-05 22:46:45,934 - sampled-1 - WARNING - | end of epoch 105 | time:  6.04s |valid ppl   118.79 | valid loss:  4.75
2020-11-05 22:46:51,972 - sampled-1 - WARNING - | end of epoch 106 | time:  6.04s |valid ppl   118.79 | valid loss:  4.85
2020-11-05 22:46:58,008 - sampled-1 - WARNING - | end of epoch 107 | time:  6.03s |valid ppl   118.79 | valid loss:  5.08
2020-11-05 22:47:04,061 - sampled-1 - WARNING - | end of epoch 108 | time:  6.05s |valid ppl   118.79 | valid loss:  4.82
2020-11-05 22:47:10,104 - sampled-1 - WARNING - | end of epoch 109 | time:  6.04s |valid ppl   118.79 | valid loss:  4.80
2020-11-05 22:47:16,147 - sampled-1 - WARNING - | end of epoch 110 | time:  6.04s |valid ppl   118.79 | valid loss:  4.75
2020-11-05 22:47:22,215 - sampled-1 - WARNING - | end of epoch 111 | time:  6.07s |valid ppl   118.79 | valid loss:  4.71
2020-11-05 22:47:28,259 - sampled-1 - WARNING - | end of epoch 112 | time:  6.04s |valid ppl   118.79 | valid loss:  4.87
2020-11-05 22:47:34,310 - sampled-1 - WARNING - | end of epoch 113 | time:  6.05s |valid ppl   118.79 | valid loss:  4.78
2020-11-05 22:47:40,348 - sampled-1 - WARNING - | end of epoch 114 | time:  6.04s |valid ppl   118.79 | valid loss:  4.67
2020-11-05 22:47:46,423 - sampled-1 - WARNING - | end of epoch 115 | time:  6.07s |valid ppl   118.79 | valid loss:  4.81
2020-11-05 22:47:52,476 - sampled-1 - WARNING - | end of epoch 116 | time:  6.05s |valid ppl   118.79 | valid loss:  4.69
2020-11-05 22:47:58,531 - sampled-1 - WARNING - | end of epoch 117 | time:  6.05s |valid ppl   118.79 | valid loss:  4.77
2020-11-05 22:48:04,600 - sampled-1 - WARNING - | end of epoch 118 | time:  6.07s |valid ppl   118.79 | valid loss:  4.77
2020-11-05 22:48:10,679 - sampled-1 - WARNING - | end of epoch 119 | time:  6.08s |valid ppl   118.79 | valid loss:  4.65
2020-11-05 22:48:16,759 - sampled-1 - WARNING - | end of epoch 120 | time:  6.08s |valid ppl   118.79 | valid loss:  4.76
2020-11-05 22:48:22,832 - sampled-1 - WARNING - | end of epoch 121 | time:  6.07s |valid ppl   118.79 | valid loss:  4.66
2020-11-05 22:48:28,892 - sampled-1 - WARNING - | end of epoch 122 | time:  6.06s |valid ppl   118.79 | valid loss:  4.82
2020-11-05 22:48:34,969 - sampled-1 - WARNING - | end of epoch 123 | time:  6.08s |valid ppl   118.79 | valid loss:  4.76
2020-11-05 22:48:41,049 - sampled-1 - WARNING - | end of epoch 124 | time:  6.08s |valid ppl   118.79 | valid loss:  4.86
2020-11-05 22:48:47,146 - sampled-1 - WARNING - | end of epoch 125 | time:  6.10s |valid ppl   118.79 | valid loss:  4.89
2020-11-05 22:48:53,223 - sampled-1 - WARNING - | end of epoch 126 | time:  6.08s |valid ppl   118.79 | valid loss:  4.79
2020-11-05 22:48:59,299 - sampled-1 - WARNING - | end of epoch 127 | time:  6.08s |valid ppl   118.79 | valid loss:  4.74
2020-11-05 22:49:05,393 - sampled-1 - WARNING - | end of epoch 128 | time:  6.09s |valid ppl   118.79 | valid loss:  4.85
2020-11-05 22:49:11,476 - sampled-1 - WARNING - | end of epoch 129 | time:  6.08s |valid ppl   118.79 | valid loss:  4.87
2020-11-05 22:49:17,568 - sampled-1 - WARNING - | end of epoch 130 | time:  6.09s |valid ppl   118.79 | valid loss:  4.85
2020-11-05 22:49:23,679 - sampled-1 - WARNING - | end of epoch 131 | time:  6.11s |valid ppl   118.79 | valid loss:  4.75
2020-11-05 22:49:29,825 - sampled-1 - WARNING - | end of epoch 132 | time:  6.15s |valid ppl   118.79 | valid loss:  4.79
2020-11-05 22:49:35,970 - sampled-1 - WARNING - | end of epoch 133 | time:  6.14s |valid ppl   118.79 | valid loss:  4.81
2020-11-05 22:49:42,110 - sampled-1 - WARNING - | end of epoch 134 | time:  6.14s |valid ppl   118.79 | valid loss:  4.68
2020-11-05 22:49:48,259 - sampled-1 - WARNING - | end of epoch 135 | time:  6.15s |valid ppl   118.79 | valid loss:  4.68
2020-11-05 22:49:54,402 - sampled-1 - WARNING - | end of epoch 136 | time:  6.14s |valid ppl   118.79 | valid loss:  4.76
2020-11-05 22:50:00,498 - sampled-1 - WARNING - | end of epoch 137 | time:  6.10s |valid ppl   118.79 | valid loss:  4.75
2020-11-05 22:50:06,595 - sampled-1 - WARNING - | end of epoch 138 | time:  6.10s |valid ppl   118.79 | valid loss:  4.87
2020-11-05 22:50:12,673 - sampled-1 - WARNING - | end of epoch 139 | time:  6.08s |valid ppl   118.79 | valid loss:  4.84
2020-11-05 22:50:18,765 - sampled-1 - WARNING - | end of epoch 140 | time:  6.09s |valid ppl   118.79 | valid loss:  4.54
2020-11-05 22:50:24,855 - sampled-1 - WARNING - | end of epoch 141 | time:  6.09s |valid ppl   118.79 | valid loss:  4.73
2020-11-05 22:50:30,955 - sampled-1 - WARNING - | end of epoch 142 | time:  6.10s |valid ppl   118.79 | valid loss:  4.85
2020-11-05 22:50:37,057 - sampled-1 - WARNING - | end of epoch 143 | time:  6.10s |valid ppl   118.79 | valid loss:  4.83
2020-11-05 22:50:43,167 - sampled-1 - WARNING - | end of epoch 144 | time:  6.11s |valid ppl   118.79 | valid loss:  4.83
2020-11-05 22:50:49,274 - sampled-1 - WARNING - | end of epoch 145 | time:  6.11s |valid ppl   118.79 | valid loss:  4.84
2020-11-05 22:50:55,377 - sampled-1 - WARNING - | end of epoch 146 | time:  6.10s |valid ppl   118.79 | valid loss:  4.81
2020-11-05 22:51:01,501 - sampled-1 - WARNING - | end of epoch 147 | time:  6.12s |valid ppl   118.79 | valid loss:  4.77
2020-11-05 22:51:07,628 - sampled-1 - WARNING - | end of epoch 148 | time:  6.13s |valid ppl   118.79 | valid loss:  4.72
2020-11-05 22:51:13,734 - sampled-1 - WARNING - | end of epoch 149 | time:  6.11s |valid ppl   118.79 | valid loss:  4.68
2020-11-05 22:51:19,846 - sampled-1 - WARNING - | end of epoch 150 | time:  6.11s |valid ppl   118.79 | valid loss:  4.53
2020-11-05 22:51:25,957 - sampled-1 - WARNING - | end of epoch 151 | time:  6.11s |valid ppl   118.79 | valid loss:  4.69
2020-11-05 22:51:32,075 - sampled-1 - WARNING - | end of epoch 152 | time:  6.12s |valid ppl   118.79 | valid loss:  4.89
2020-11-05 22:51:38,189 - sampled-1 - WARNING - | end of epoch 153 | time:  6.11s |valid ppl   118.79 | valid loss:  4.84
2020-11-05 22:51:44,304 - sampled-1 - WARNING - | end of epoch 154 | time:  6.12s |valid ppl   118.79 | valid loss:  4.67
2020-11-05 22:51:50,425 - sampled-1 - WARNING - | end of epoch 155 | time:  6.12s |valid ppl   118.79 | valid loss:  4.80
2020-11-05 22:51:56,535 - sampled-1 - WARNING - | end of epoch 156 | time:  6.11s |valid ppl   118.79 | valid loss:  4.79
2020-11-05 22:52:02,650 - sampled-1 - WARNING - | end of epoch 157 | time:  6.11s |valid ppl   118.79 | valid loss:  4.81
2020-11-05 22:52:08,753 - sampled-1 - WARNING - | end of epoch 158 | time:  6.10s |valid ppl   118.79 | valid loss:  4.73
2020-11-05 22:52:14,873 - sampled-1 - WARNING - | end of epoch 159 | time:  6.12s |valid ppl   118.79 | valid loss:  4.58
2020-11-05 22:52:20,993 - sampled-1 - WARNING - | end of epoch 160 | time:  6.12s |valid ppl   118.79 | valid loss:  4.68
2020-11-05 22:52:27,120 - sampled-1 - WARNING - | end of epoch 161 | time:  6.13s |valid ppl   118.79 | valid loss:  4.70
2020-11-05 22:52:33,234 - sampled-1 - WARNING - | end of epoch 162 | time:  6.11s |valid ppl   118.79 | valid loss:  4.91
